data,Authorizable,ContractManager,OrderLogic,OrderStorage,Owned,ProductLogic,ProductStorage,Purchase,TokenCubit,UserLogic,UserStorage,VatLogic,VatStorage,average
2019-04-27,723775,655000,1593287,2732987,222700,1919150,2692050,918637,1730837,1118412,1419712,1445912,1441000,1431175
2019-04-28,735237,664824,1619487,2777200,227612,1950262,2734625,933375,1758675,1136425,1441000,1468837,1463925,1454100
2019-04-29,735237,664824,1619487,2777200,227612,1950262,2734625,933375,1758675,1136425,1441000,1468837,1463925,1454100
2019-04-30,735237,664824,1619487,2777200,227612,1950262,2734625,933375,1758675,1136425,1441000,1468837,1463925,1454100
2019-05-01,735237,664824,1619487,2777200,227612,1950262,2734625,933375,1758675,1136425,1441000,1468837,1463925,1454100
2019-05-02,749975,681200,1837275,2826325,232525,1981375,2782112,949750,1973187,1156075,1470475,1807799,1493399,1534337
2019-05-03,749975,681200,1837275,2826325,232525,1981375,2782112,949750,1973187,1156075,1470475,1807799,1493399,1534337
2019-05-04,573125,723775,1981375,2187700,225974,1811075,2099275,1028350,1644049,1165900,1142975,1994475,1142975,1362400
2019-05-05,575342,725916,1984009,2190676,226977,1813829,2102538,1173074,1648096,1168910,1145054,1999237,1144841,1376807
2019-05-06,575342,725916,1984009,2190676,226977,1813829,2102538,1173138,1661887,1168910,1145054,1999237,1144841,1377873
2019-05-07,575342,725916,1984009,2190676,226977,1813829,2102538,1173138,1661887,1168910,1145054,1999237,1144841,1377873
