data,Authorizable,ContractManager,OrderLogic,OrderStorage,Owned,ProductLogic,ProductStorage,Purchase,TokenCubit,UserLogic,UserStorage,VatLogic,VatStorage,average
2019-04-27,4.42,4.00,9.73,16.69,1.36,11.72,16.44,5.61,10.57,6.83,8.67,8.83,8.80,8.74
2019-04-28,4.49,4.06,9.89,16.96,1.39,11.91,16.70,5.70,10.74,6.94,8.80,8.97,8.94,8.88
2019-04-29,4.49,4.06,9.89,16.96,1.39,11.91,16.70,5.70,10.74,6.94,8.80,8.97,8.94,8.88
2019-04-30,4.49,4.06,9.89,16.96,1.39,11.91,16.70,5.70,10.74,6.94,8.80,8.97,8.94,8.88
2019-05-01,4.49,4.06,9.89,16.96,1.39,11.91,16.70,5.70,10.74,6.94,8.80,8.97,8.94,8.88
2019-05-02,4.58,4.16,11.22,17.26,1.42,12.10,16.99,5.80,12.05,7.06,8.98,11.04,9.12,9.37
2019-05-03,4.58,4.16,11.22,17.26,1.42,12.10,16.99,5.80,12.05,7.06,8.98,11.04,9.12,9.37
2019-05-04,1.75,2.21,6.05,6.68,0.69,5.53,6.41,3.14,5.02,3.56,3.49,6.09,3.49,4.16
2019-05-04,1.75,2.21,6.03,6.66,0.69,5.52,6.39,3.14,5.01,3.56,3.48,6.08,3.48,4.15

